0	0	1.88547e-05
0.1	4.44089e-16	1.88547e-05
0.2	8.88178e-16	1.88547e-05
0.3	4.44089e-16	1.88547e-05
0.4	8.88178e-16	1.88547e-05
0.5	4.44089e-16	1.88547e-05
0.6	0	1.88547e-05
0.7	0	1.88547e-05
0.8	4.44089e-16	1.88547e-05
0.9	8.88178e-16	1.88547e-05
1	-4.44089e-16	1.88547e-05
1.1	4.44089e-16	1.88547e-05
1.2	4.44089e-16	1.88547e-05
1.3	0	1.88547e-05
1.4	8.88178e-16	1.88547e-05
1.5	8.88178e-16	1.88547e-05
1.6	8.88178e-16	1.88547e-05
1.7	8.88178e-16	1.88547e-05
1.8	0	1.88547e-05
1.9	0	1.88547e-05
2	-4.44089e-16	1.88547e-05
2.1	0	1.88547e-05
2.2	-4.44089e-16	1.88547e-05
2.3	4.44089e-16	1.88547e-05
2.4	8.88178e-16	1.88547e-05
2.5	0	1.88547e-05
2.6	0	1.88547e-05
2.7	8.88178e-16	1.88547e-05
2.8	8.88178e-16	1.88547e-05
2.9	0	1.88547e-05
3	4.44089e-16	1.88547e-05
3.1	4.44089e-16	1.88547e-05
3.2	8.88178e-16	1.88547e-05
3.3	0	1.88547e-05
3.4	-1.33227e-15	1.88547e-05
3.5	4.44089e-16	1.88547e-05
3.6	4.44089e-16	1.88547e-05
3.7	1.33227e-15	1.88547e-05
3.8	0	1.88547e-05
3.9	8.88178e-16	1.88547e-05
4	0	1.88547e-05
0	0	1.88547e-05
0.1	-8.88178e-16	1.88547e-05
0.2	1.33227e-15	1.88547e-05
0.3	0	1.88547e-05
0.4	0	1.88547e-05
0.5	0	1.88547e-05
0.6	0	1.88547e-05
0.7	0	1.88547e-05
0.8	4.44089e-16	1.88547e-05
0.9	0	1.88547e-05
1	4.44089e-16	1.88547e-05
1.1	-4.44089e-16	1.88547e-05
1.2	-4.44089e-16	1.88547e-05
1.3	-4.44089e-16	1.88547e-05
1.4	1.33227e-15	1.88547e-05
1.5	0	1.88547e-05
1.6	-4.44089e-16	1.88547e-05
1.7	4.44089e-16	1.88547e-05
1.8	4.44089e-16	1.88547e-05
1.9	0	1.88547e-05
2	0	1.88547e-05
2.1	8.88178e-16	1.88547e-05
2.2	0	1.88547e-05
2.3	4.44089e-16	1.88547e-05
2.4	0	1.88547e-05
2.5	8.88178e-16	1.88547e-05
2.6	-4.44089e-16	1.88547e-05
2.7	8.88178e-16	1.88547e-05
2.8	-4.44089e-16	1.88547e-05
2.9	0	1.88547e-05
3	8.88178e-16	1.88547e-05
3.1	8.88178e-16	1.88547e-05
3.2	4.44089e-16	1.88547e-05
3.3	0	1.88547e-05
3.4	8.88178e-16	1.88547e-05
3.5	4.44089e-16	1.88547e-05
3.6	8.88178e-16	1.88547e-05
3.7	0	1.88547e-05
3.8	0	1.88547e-05
3.9	8.88178e-16	1.88547e-05
4	8.88178e-16	1.88547e-05
0	0	1.88547e-05
0.1	-2.78961e-07	1.88558e-05
0.2	-8.25934e-07	1.88583e-05
0.3	-1.70077e-06	1.88628e-05
0.4	-2.88772e-06	1.88696e-05
0.5	-4.4792e-06	1.88805e-05
0.6	-9.4719e-06	1.894e-05
0.7	-4.0164e-05	1.95635e-05
0.8	-0.000205279	2.51025e-05
0.9	-0.000967924	6.59153e-05
1	-0.00324117	0.000241935
1.1	-0.00673392	0.000586843
1.2	-0.0102857	0.000992474
1.3	-0.0134652	0.00138909
1.4	-0.0162419	0.00175624
1.5	-0.0186741	0.00209149
1.6	-0.0208259	0.00239759
1.7	-0.0227509	0.00267834
1.8	-0.024491	0.00293736
1.9	-0.0260785	0.00317773
2	-0.0275383	0.00340204
2.1	-0.02889	0.00361241
2.2	-0.0301491	0.0038106
2.3	-0.0313281	0.00399804
2.4	-0.032437	0.00417596
2.5	-0.0334842	0.00434537
2.6	-0.0344766	0.00450712
2.7	-0.0354201	0.00466196
2.8	-0.0363194	0.00481052
2.9	-0.0371789	0.00495334
3	-0.0380021	0.0050909
3.1	-0.0387923	0.00522362
3.2	-0.039552	0.00535186
3.3	-0.0402838	0.00547595
3.4	-0.0409897	0.00559618
3.5	-0.0416717	0.00571282
3.6	-0.0423314	0.00582608
3.7	-0.0429703	0.00593619
3.8	-0.0435898	0.00604333
3.9	-0.044191	0.00614767
4	-0.0447751	0.00624938
0	0	1.88547e-05
0.1	-2.78961e-07	1.88558e-05
0.2	-8.25934e-07	1.88583e-05
0.3	-1.70077e-06	1.88628e-05
0.4	-2.88772e-06	1.88696e-05
0.5	-4.4792e-06	1.88805e-05
0.6	-9.4719e-06	1.894e-05
0.7	-4.0164e-05	1.95635e-05
0.8	-0.000205279	2.51025e-05
0.9	-0.000967924	6.59153e-05
1	-0.00324117	0.000241935
1.1	-0.00673392	0.000586843
1.2	-0.0102857	0.000992474
1.3	-0.0134652	0.00138909
1.4	-0.0162419	0.00175624
1.5	-0.0186741	0.00209149
1.6	-0.0208259	0.00239759
1.7	-0.0227509	0.00267834
1.8	-0.024491	0.00293736
1.9	-0.0260785	0.00317773
2	-0.0275383	0.00340204
2.1	-0.02889	0.00361241
2.2	-0.0301491	0.0038106
2.3	-0.0313281	0.00399804
2.4	-0.032437	0.00417596
2.5	-0.0334842	0.00434537
2.6	-0.0344766	0.00450712
2.7	-0.0354201	0.00466196
2.8	-0.0363194	0.00481052
2.9	-0.0371789	0.00495334
3	-0.0380021	0.0050909
3.1	-0.0387923	0.00522362
3.2	-0.039552	0.00535186
3.3	-0.0402838	0.00547595
3.4	-0.0409897	0.00559618
3.5	-0.0416717	0.00571282
3.6	-0.0423314	0.00582608
3.7	-0.0429703	0.00593619
3.8	-0.0435898	0.00604333
3.9	-0.044191	0.00614767
4	-0.0447751	0.00624938
